"","worms_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_init"
"1","131106","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Aonides","Aonides oxycephala","Aonides oxycephala"
"2","102012","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Aora","Aora gracilis","Aora gracilis"
"3","247077","Animalia","Arthropoda","Malacostraca","Tanaidacea","Apseudidae","Apseudopsis","Apseudopsis latreillii","Apseudopsis latreillii"
"4","138961","Animalia","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Calyptraea","Calyptraea chinensis","Calyptraea chinensis"
"5","129944","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Caulleriella","Caulleriella bioculata","Caulleriella bioculata"
"6","129347","Animalia","Annelida","Polychaeta",NA,"Maldanidae","Euclymene",NA,"Euclymene spp."
"7","102811","Animalia","Arthropoda","Malacostraca","Amphipoda","Nuuanuidae","Gammarella","Gammarella fucicola","Gammarella fucicola"
"8","175026","Animalia","Annelida",NA,"Sipuncula","Golfingiidae","Golfingia","Golfingia (Golfingia) elongata","Golfingia (Golfingia) elongata"
"9","140082","Animalia","Mollusca","Polyplacophora","Lepidopleurida","Hanleyidae","Hanleya","Hanleya hanleyi","Hanleya hanleyi"
"10","126518","Animalia","Chordata","Actinopteri","Gobiesociformes","Gobiesocidae","Lepadogaster","Lepadogaster lepadogaster","Lepadogaster lepadogaster"
"11","140218","Animalia","Mollusca","Bivalvia","Galeommatida","Lasaeidae","Lepton","Lepton squamosum","Lepton squamosum"
"12","107392","Animalia","Arthropoda","Malacostraca","Decapoda","Polybiidae","Liocarcinus","Liocarcinus navigator","Liocarcinus navigator"
"13","875379","Animalia","Mollusca","Bivalvia","Lucinida","Lucinidae","Loripes","Loripes orbiculatus","Loripes orbiculatus"
"14","129337","Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Lumbrineris",NA,"Lumbrineris spp."
"15","742232","Animalia","Annelida","Polychaeta","Eunicida","Eunicidae","Lysidice","Lysidice unicornis","Lysidice unicornis"
