"","site","point_name","depth"
"MPP_1","Baie de Saint-Brieuc","Saint-Brieuc 1",22.68
"MPP_2","Baie de Saint-Brieuc","Saint-Brieuc 2",13.44
"MPP_3","Baie de Saint-Brieuc","Saint-Brieuc 3",20.15
"MBE_1","Belle-ile","Belle-ile 1",4
"MBE_2","Belle-ile","Belle-ile 2",3.68
"MBE_3","Belle-ile","Belle-ile 3",3.5
"MCM_1","Camaret","Camaret 1",19.07
"MCM_2","Camaret","Camaret 2",16.4
"MCM_3","Camaret","Camaret 3",16.07
"MGL_1","Glenan","Glenan 1",8.4
"MGL_2","Glenan","Glenan 2",10.65
"MGL_3","Glenan","Glenan 3",7.48
"MME_1","Meaban","Meaban 1",6.23
"MME_2","Meaban","Meaban 2",5.88
"MME_3","Meaban","Meaban 3",5.88
"MMO_1","Molene","Molene 1",11.7
"MMO_2","Molene","Molene 2",12.68
"MMO_3","Molene","Molene 3",12.16
"MMX_1","Morlaix","Morlaix 1",9.24
"MMX_2","Morlaix","Morlaix 2",5.48
"MMX_3","Morlaix","Morlaix 3",5.04
"NBK_1","Rade de Brest - Keraliou","Keraliou 1",2
"NBK_2","Rade de Brest - Keraliou","Keraliou 2",2.45
"NBK_3","Rade de Brest - Keraliou","Keraliou 3",2.25
"MRZ_1","Rade de Brest - Rozegat","Rozegat 1",1.8
"MRZ_2","Rade de Brest - Rozegat","Rozegat 2",1.6
"MRZ_3","Rade de Brest - Rozegat","Rozegat 3",1.3
"MTR_1","Trevignon","Trevignon 1",11.88
"MTR_2","Trevignon","Trevignon 2",12.12
"MTR_3","Trevignon","Trevignon 3",13.03
