"worms_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_init"
"102787","Animalia","Arthropoda","Malacostraca","Amphipoda","Melitidae","Abludomelita","Abludomelita gladiosa","Abludomelita gladiosa"
"102788","Animalia","Arthropoda","Malacostraca","Amphipoda","Melitidae","Abludomelita","Abludomelita obtusata","Abludomelita obtusata"
"141433","Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","Abra","Abra alba","Abra alba"
"137613","Animalia","Mollusca","Polyplacophora","Chitonida","Acanthochitonidae","Acanthochitona",NA,"Acanthochitona"
"138675","Animalia","Mollusca","Polyplacophora","Chitonida","Acanthochitonidae","Acanthochitona","Acanthochitona crinita","Acanthochitona crinita"
"138677","Animalia","Mollusca","Polyplacophora","Chitonida","Acanthochitonidae","Acanthochitona","Acanthochitona fascicularis","Acanthochitona fascicularis"
"140627","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris","Acanthodoris pilosa","Acanthodoris pilosa"
"107313","Animalia","Arthropoda","Malacostraca","Decapoda","Inachidae","Achaeus","Achaeus cranchii","Achaeus cranchii"
"134599","Animalia","Arthropoda","Pycnogonida","Pantopoda","Ammotheidae","Achelia","Achelia echinata","Achelia echinata"
"102497","Animalia","Arthropoda","Malacostraca","Amphipoda","Acidostomatidae","Acidostoma","Acidostoma obesum","Acidostoma obesum"
"138680","Animalia","Mollusca","Gastropoda","Littorinimorpha","Eulimidae","Aclis","Aclis gulsonae","Aclis gulsonae"
"236129","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Acrocnida",NA,"Acrocnida spp."
"994098","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Acromegalomma",NA,"Acromegalomma spp."
"1360","Animalia","Cnidaria","Anthozoa","Actiniaria",NA,NA,NA,"Actiniaria spp."
"445590","Animalia","Cnidaria","Anthozoa","Actiniaria","Hormathiidae","Adamsia","Adamsia palliata","Adamsia palliata"
"140687","Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Aequipecten","Aequipecten opercularis","Aequipecten opercularis"
"130343","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae","Aglaophamus","Aglaophamus agilis","Aglaophamus agilis"
"138734","Animalia","Mollusca","Gastropoda","Aplysiida","Akeridae","Akera","Akera bullata","Akera bullata"
"130722","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Alentia","Alentia gelatinosa","Alentia gelatinosa"
"107477","Animalia","Arthropoda","Malacostraca","Decapoda","Alpheidae","Alpheus","Alpheus glaber","Alpheus glaber"
"107479","Animalia","Arthropoda","Malacostraca","Decapoda","Alpheidae","Alpheus","Alpheus macrocheles","Alpheus macrocheles"
"138439","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Alvania",NA,"Alvania"
"416615","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Alvania","Alvania beanii","Alvania beanii"
"141165","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Alvania","Alvania cancellata","Alvania cancellata"
"141166","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Alvania","Alvania carinata","Alvania carinata"
"141200","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Alvania","Alvania jeffreysi","Alvania jeffreysi"
"141230","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Alvania","Alvania punctura","Alvania punctura"
"129710","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Polycirrus",NA,"Polycirrus spp."
"126752","Animalia","Chordata","Actinopteri","Perciformes","Ammodytidae","Ammodytes","Ammodytes tobianus","Ammodytes tobianus"
"101445","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca",NA,"Ampelisca spp."
"101888","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca armoricana","Ampelisca armoricana"
"101927","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca spinimana","Ampelisca spinimana"
"101928","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca spinipes","Ampelisca spinipes"
"101891","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca brevicornis","Ampelisca brevicornis"
"101896","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca diadema","Ampelisca diadema"
"101933","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca typica","Ampelisca typica"
"101923","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca sarsi","Ampelisca sarsi"
"129155","Animalia","Annelida","Polychaeta","Terebellida","Ampharetidae","Ampharete",NA,"Ampharete spp."
"129784","Animalia","Annelida","Polychaeta","Terebellida","Ampharetidae","Amphicteis","Amphicteis gunneri","Amphicteis gunneri"
"152448","Animalia","Annelida","Polychaeta","Terebellida","Pectinariidae","Amphictene","Amphictene auricoma","Amphictene auricoma"
"130869","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Amphiglena","Amphiglena mediterranea","Amphiglena mediterranea"
"101967","Animalia","Arthropoda","Malacostraca","Amphipoda","Amphilochidae","Amphilochus","Amphilochus manudens","Amphilochus manudens"
"125064","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphipholis","Amphipholis squamata","Amphipholis squamata"
"1135","Animalia","Arthropoda","Malacostraca","Amphipoda",NA,NA,NA,"Amphipoda"
"122391","Animalia","Nemertea","Hoplonemertea","Monostilifera","Amphiporidae","Amphiporus",NA,"Amphiporus"
"131480","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Amphitritides","Amphitritides gracilis","Amphitritides gracilis"
"123613","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphiura",NA,"Amphiura spp."
