Espece	Mobility	AFF.MO	AMBI	Fragilite	AFF.RO	Tube	Taille	GT	Position	Phylum	Class	Order	Family
Abludomelita gladiosa	Mobile	I	III	Peu fragile	Meuble	0	TP	Deposivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Melitidae
Abludomelita obtusata	Mobile	I	III	Peu fragile	Dur	0	TP	Deposivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Melitidae
Abra alba	Peu mobile	III	III	Peu fragile	Meuble	0	P	Deposivore	Endofaune	Mollusca	Bivalvia	Cardiida	Semelidae
Acanthochitona	Peu mobile	I	I	Peu fragile	Dur	0	PM	Brouteur	Epifaune	Mollusca	Polyplacophora	Chitonida	Acanthochitonidae
Acanthochitona crinita	Peu mobile	I	I	Peu fragile	Dur	0	P	Brouteur	Epifaune	Mollusca	Polyplacophora	Chitonida	Acanthochitonidae
Acanthochitona discrepans			I						Epifaune				
Acanthochitona fascicularis	Peu mobile	I	I	Peu fragile	Dur	0	PM	Brouteur	Epifaune	Mollusca	Polyplacophora	Chitonida	Acanthochitonidae
Acanthodoris pilosa	Mobile	I	I	Tres fragile	Dur	0	PM	Predateur	Epifaune	Mollusca	Gastropoda	Nudibranchia	Onchidorididae
Acasta spongites	Fixe	I	NA	Tres fragile	Dur	0	TP	Suspensivore	Epifaune	Arthropoda	Thecostraca	Balanomorpha	Balanidae
Achaeus cranchii	Mobile	I	I	Peu fragile	Dur	0	P	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Inachidae
Achelia echinata	Mobile	I	I	Tres fragile	Dur	0	TP	Omnivore	Epifaune	Arthropoda	Pycnogonida	Pantopoda	Ammotheidae
Acidostoma obesum			I						Endofaune				
Aclis gulsonae			I						Interstice				
Acrocnida brachiata	Mobile	I	I	Tres fragile	Meuble	0	PM	Deposivore	Endofaune	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae
Acrocnida spatulispina	Mobile	I	I	Tres fragile	Meuble	0	PM	Deposivore	Endofaune	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae
Acromegalomma	Peu mobile	I	II	Tres fragile	Meuble	1	M	Suspensivore	Interstice	Annelida	Polychaeta	Sabellida	Sabellidae
Acromegalomma lanigerum	Peu mobile	I	II	Tres fragile	Meuble	1	M	Suspensivore	Interstice	Annelida	Polychaeta	Sabellida	Sabellidae
Acromegalomma vesiculosum	Peu mobile	I	II	Tres fragile	Meuble	1	M	Suspensivore	Interstice	Annelida	Polychaeta	Sabellida	Sabellidae
Actiniaria	Fixe	I	I	Tres fragile	Dur	0	PM	Predateur	Epifaune	Cnidaria	Anthozoa	Actiniaria	
Adamsia palliata			II						Epifaune				
Aequipecten opercularis	Mobile	I	I	Peu fragile	Indifferent	0	PM	Suspensivore	Epifaune	Mollusca	Bivalvia	Pectinida	Pectinidae
Aglaophamus agilis	Mobile	I	II	Tres fragile	Meuble	0	P	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Nephtyidae
Akera bullata	Mobile	I	I	Tres fragile	Meuble	0	PM	Herbivore	Interstice	Mollusca	Gastropoda	Aplysiida	Akeridae
Alentia gelatinosa	Mobile	II	NA	Tres fragile	Dur	0	PM	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Alpheus glaber	Mobile	I	II	Peu fragile	Meuble	0	P	Predateur	Endofaune	Arthropoda	Malacostraca	Decapoda	Alpheidae
Alpheus macrocheles	Mobile	I	II	Peu fragile	Dur	0	P	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Alpheidae
Alvania	Peu mobile	I	I	Peu fragile	Indifferent	0	TP	Deposivore	Epifaune	Mollusca	Gastropoda	Littorinimorpha	Rissoidae
Alvania beanii	Peu mobile	I	I	Peu fragile	Indifferent	0	TP	Deposivore	Epifaune	Mollusca	Gastropoda	Littorinimorpha	Rissoidae
Alvania cancellata	Peu mobile	I	I	Pas fragile	Indifferent	0	TP	Detritivore	Epifaune	Mollusca	Gastropoda	Littorinimorpha	Rissoidae
Alvania carinata	Peu mobile	I	I	Peu fragile	Indifferent	0	TP	Deposivore	Epifaune	Mollusca	Gastropoda	Littorinimorpha	Rissoidae
Alvania jeffreysi			I						Epifaune				
Alvania punctura	Peu mobile	I	I	Peu fragile	Meuble	0	TP	Brouteur	Epifaune	Mollusca	Gastropoda	Littorinimorpha	Rissoidae
Amaeana trilobata	Peu mobile	II	I	Tres fragile	Meuble	1	P	Deposivore	Epifaune	Annelida	Polychaeta	Terebellida	Terebellidae
Amblyosyllis	Mobile	II	II	Tres fragile	Dur	0	P	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Syllidae
