"Species","Mobility","AFF.MO","AMBI","Fragilite","AFF.RO","Tube","Taille","GT","Position","worms_id","Kingdom","Phylum","Class","Order","Family","Genus","Species.y"
"Abludomelita gladiosa","Mobile","I","III","Peu fragile","Meuble","0","TP","Deposivore","Epifaune","102787","Animalia","Arthropoda","Malacostraca","Amphipoda","Melitidae","Abludomelita","Abludomelita gladiosa"
"Abludomelita obtusata","Mobile","I","III","Peu fragile","Dur","0","TP","Deposivore","Epifaune","102788","Animalia","Arthropoda","Malacostraca","Amphipoda","Melitidae","Abludomelita","Abludomelita obtusata"
"Abra alba","Peu mobile","III","III","Peu fragile","Meuble","0","P","Deposivore","Endofaune","141433","Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","Abra","Abra alba"
"Acanthochitona","Peu mobile","I","I","Peu fragile","Dur","0","PM","Brouteur","Epifaune","137613","Animalia","Mollusca","Polyplacophora","Chitonida","Acanthochitonidae","Acanthochitona",NA
"Acanthochitona crinita","Peu mobile","I","I","Peu fragile","Dur","0","P","Brouteur","Epifaune","138675","Animalia","Mollusca","Polyplacophora","Chitonida","Acanthochitonidae","Acanthochitona","Acanthochitona crinita"
"Acanthochitona crinita",NA,NA,"I",NA,NA,NA,NA,NA,"Epifaune","138675","Animalia","Mollusca","Polyplacophora","Chitonida","Acanthochitonidae","Acanthochitona","Acanthochitona crinita"
"Acanthochitona fascicularis","Peu mobile","I","I","Peu fragile","Dur","0","PM","Brouteur","Epifaune","138677","Animalia","Mollusca","Polyplacophora","Chitonida","Acanthochitonidae","Acanthochitona","Acanthochitona fascicularis"
"Acanthodoris pilosa","Mobile","I","I","Tres fragile","Dur","0","PM","Predateur","Epifaune","140627","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris","Acanthodoris pilosa"
"Achaeus cranchii","Mobile","I","I","Peu fragile","Dur","0","P","Predateur","Epifaune","107313","Animalia","Arthropoda","Malacostraca","Decapoda","Inachidae","Achaeus","Achaeus cranchii"
"Achelia echinata","Mobile","I","I","Tres fragile","Dur","0","TP","Omnivore","Epifaune","134599","Animalia","Arthropoda","Pycnogonida","Pantopoda","Ammotheidae","Achelia","Achelia echinata"
"Acidostoma obesum",NA,NA,"I",NA,NA,NA,NA,NA,"Endofaune","102497","Animalia","Arthropoda","Malacostraca","Amphipoda","Acidostomatidae","Acidostoma","Acidostoma obesum"
"Aclis gulsonae",NA,NA,"I",NA,NA,NA,NA,NA,"Interstice","138680","Animalia","Mollusca","Gastropoda","Littorinimorpha","Eulimidae","Aclis","Aclis gulsonae"
"Acrocnida spp.","Mobile","I","I","Tres fragile","Meuble","0","PM","Deposivore","Endofaune","236129","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Acrocnida",NA
"Acrocnida spp.","Mobile","I","I","Tres fragile","Meuble","0","PM","Deposivore","Endofaune","236129","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Acrocnida",NA
"Acromegalomma spp.","Peu mobile","I","II","Tres fragile","Meuble","1","M","Suspensivore","Interstice","994098","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Acromegalomma",NA
"Actiniaria spp.","Fixe","I","I","Tres fragile","Dur","0","PM","Predateur","Epifaune","1360","Animalia","Cnidaria","Anthozoa","Actiniaria",NA,NA,NA
"Adamsia palliata",NA,NA,"II",NA,NA,NA,NA,NA,"Epifaune","445590","Animalia","Cnidaria","Anthozoa","Actiniaria","Hormathiidae","Adamsia","Adamsia palliata"
"Aequipecten opercularis","Mobile","I","I","Peu fragile","Indifferent","0","PM","Suspensivore","Epifaune","140687","Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Aequipecten","Aequipecten opercularis"
"Aglaophamus agilis","Mobile","I","II","Tres fragile","Meuble","0","P","Predateur","Endofaune","130343","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae","Aglaophamus","Aglaophamus agilis"
"Akera bullata","Mobile","I","I","Tres fragile","Meuble","0","PM","Herbivore","Interstice","138734","Animalia","Mollusca","Gastropoda","Aplysiida","Akeridae","Akera","Akera bullata"
"Alentia gelatinosa","Mobile","II",NA,"Tres fragile","Dur","0","PM","Predateur","Epifaune","130722","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Alentia","Alentia gelatinosa"
"Alpheus glaber","Mobile","I","II","Peu fragile","Meuble","0","P","Predateur","Endofaune","107477","Animalia","Arthropoda","Malacostraca","Decapoda","Alpheidae","Alpheus","Alpheus glaber"
"Alpheus macrocheles","Mobile","I","II","Peu fragile","Dur","0","P","Predateur","Epifaune","107479","Animalia","Arthropoda","Malacostraca","Decapoda","Alpheidae","Alpheus","Alpheus macrocheles"
"Alvania","Peu mobile","I","I","Peu fragile","Indifferent","0","TP","Deposivore","Epifaune","138439","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Alvania",NA
"Alvania beanii","Peu mobile","I","I","Peu fragile","Indifferent","0","TP","Deposivore","Epifaune","416615","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Alvania","Alvania beanii"
"Alvania cancellata","Peu mobile","I","I","Pas fragile","Indifferent","0","TP","Detritivore","Epifaune","141165","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Alvania","Alvania cancellata"
"Alvania carinata","Peu mobile","I","I","Peu fragile","Indifferent","0","TP","Deposivore","Epifaune","141166","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Alvania","Alvania carinata"
"Alvania jeffreysi",NA,NA,"I",NA,NA,NA,NA,NA,"Epifaune","141200","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Alvania","Alvania jeffreysi"
"Alvania punctura","Peu mobile","I","I","Peu fragile","Meuble","0","TP","Brouteur","Epifaune","141230","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Alvania","Alvania punctura"
"Polycirrus spp.","Peu mobile","II","I","Tres fragile","Meuble","1","P","Deposivore","Epifaune","129710","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Polycirrus",NA
"Ammodytes tobianus",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","126752","Animalia","Chordata","Actinopteri","Perciformes","Ammodytidae","Ammodytes","Ammodytes tobianus"
"Ampelisca spp.","Peu mobile","I","I","Peu fragile","Indifferent","1","P","Suspensivore","Interstice","101445","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca",NA
"Ampelisca armoricana","Peu mobile","I","I","Peu fragile","Meuble","1","P","Suspensivore","Endofaune","101888","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca armoricana"
"Ampelisca spp.",NA,NA,"I",NA,NA,NA,NA,NA,"Epifaune","101445","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca",NA
"Ampelisca spinimana","Peu mobile","I","I","Peu fragile","Meuble","1","TP","Suspensivore","Endofaune","101927","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca spinimana"
"Ampelisca spinipes","Peu mobile","I","I","Peu fragile","Meuble","1","P","Suspensivore","Epifaune","101928","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca spinipes"
"Ampelisca brevicornis",NA,NA,"I",NA,NA,NA,NA,NA,"Interstice","101891","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca brevicornis"
"Ampelisca spp.","Peu mobile","I","I","Peu fragile","Meuble","1","TP","Suspensivore","Endofaune","101445","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca",NA
"Ampelisca diadema",NA,NA,"II",NA,NA,NA,NA,NA,"Epifaune","101896","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca diadema"
"Ampelisca typica","Peu mobile","I","I","Peu fragile","Meuble","1","P","Suspensivore","Endofaune","101933","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca typica"
"Ampelisca sarsi",NA,NA,"I",NA,NA,NA,NA,NA,"Epifaune","101923","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca sarsi"
"Ampharete spp.","Peu mobile","III","I","Tres fragile","Meuble","1","P","Deposivore","Endofaune","129155","Animalia","Annelida","Polychaeta","Terebellida","Ampharetidae","Ampharete",NA
"Amphicteis gunneri","Peu mobile","III","III","Tres fragile","Meuble","1","P","Deposivore","Endofaune","129784","Animalia","Annelida","Polychaeta","Terebellida","Ampharetidae","Amphicteis","Amphicteis gunneri"
"Amphicteis gunneri","Peu mobile","III","III","Tres fragile","Meuble","1","P","Inconnu","Endofaune","129784","Animalia","Annelida","Polychaeta","Terebellida","Ampharetidae","Amphicteis","Amphicteis gunneri"
"Amphictene auricoma","Peu mobile","I","I","Tres fragile","Meuble","1","P","Deposivore","Endofaune","152448","Animalia","Annelida","Polychaeta","Terebellida","Pectinariidae","Amphictene","Amphictene auricoma"
"Ampharete spp.",NA,NA,"I",NA,NA,NA,NA,NA,"Epifaune","129155","Animalia","Annelida","Polychaeta","Terebellida","Ampharetidae","Ampharete",NA
"Amphiglena mediterranea","Peu mobile","I","I","Tres fragile","Dur","1","TP","Suspensivore","Interstice","130869","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Amphiglena","Amphiglena mediterranea"
"Amphilochus manudens","Mobile","I","II","Peu fragile","Indifferent","0","TP","Predateur","Epifaune","101967","Animalia","Arthropoda","Malacostraca","Amphipoda","Amphilochidae","Amphilochus","Amphilochus manudens"
"Amphipholis squamata","Mobile","I","I","Tres fragile","Dur","0","P","Predateur","Epifaune","125064","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphipholis","Amphipholis squamata"
"Amphipoda","Mobile","I",NA,"Peu fragile","Indifferent","1","TP","Omnivore","Interstice","1135","Animalia","Arthropoda","Malacostraca","Amphipoda",NA,NA,NA
"Amphiporus","Peu mobile","II",NA,"Tres fragile","Meuble","0","PM","Predateur","Interstice","122391","Animalia","Nemertea","Hoplonemertea","Monostilifera","Amphiporidae","Amphiporus",NA
"Amphitritides gracilis","Peu mobile","I","II","Tres fragile","Indifferent","1","M","Deposivore","Endofaune","131480","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Amphitritides","Amphitritides gracilis"
"Amphiura spp.","Mobile","I","II","Tres fragile","Indifferent","0","PM","Suspensivore","Endofaune","123613","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphiura",NA
"Amphiura spp.","Mobile","I",NA,"Tres fragile","Meuble","0","PM","Suspensivore","Endofaune","123613","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphiura",NA
"Apolochus spencebatei",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","1302153","Animalia","Arthropoda","Malacostraca","Amphipoda","Amphilochidae","Apolochus","Apolochus spencebatei"
"Amphiura spp.","Mobile","I","II","Tres fragile","Dur","0","M","Suspensivore","Interstice","123613","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphiura",NA
"Amphiura spp.","Mobile","I","II","Tres fragile","Meuble","0","PM","Deposivore","Endofaune","123613","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphiura",NA
"Amphiura filiformis","Mobile","I","II","Tres fragile","Meuble","0","M","Suspensivore","Interstice","125080","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphiura","Amphiura filiformis"
"Amphitrite spp.",NA,NA,NA,NA,NA,NA,NA,NA,"Endofaune","129686","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Amphitrite",NA
"Ampithoe ramondi","Mobile","I","III","Peu fragile","Dur","1","P","Herbivore","Epifaune","102000","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Ampithoe","Ampithoe ramondi"
