"","Mini","Site","Point","Sample","Branching_density","Broken_density","D_bin","D_gray","L","I","S","Old_density","Sphericity","DR1","DR2","DR3","Alive","Dead","Total","Alive_Density","Total_Density","Alive_Total","Dry_weight"
"1","MBE_1","Belle-ile","Belle-ile 1",1,5.8,0,1.1231,2.6562,12.8533333333333,9.14333333333333,8.30333333333333,1311,0.83713379379655,0.646006224066391,0.815384615384614,0.711358921161827,252,2587,2839,16128,181696,0.088763649,183.61
"2","MBE_1","Belle-ile","Belle-ile 1",2,1,0,1.0654,2.6463,16.0766666666667,7.88333333333333,5.39333333333333,1311,0.612260453990944,0.335475844909806,0.766926677067084,0.490358697905867,252,2587,2839,16128,181696,0.088763649,183.61
"3","MBE_1","Belle-ile","Belle-ile 1",3,3,0.2,1.0722,2.645,15.3,8.10333333333333,7.19,1311,0.747080754306585,0.469934640522876,0.887381833127826,0.529629629629629,252,2587,2839,16128,181696,0.088763649,183.61
"4","MBE_1","Belle-ile","Belle-ile 1",4,4.8,0.4,1.1078,2.6492,12.9166666666667,8.47666666666667,6.20333333333333,1311,0.705707760155332,0.480258064516128,0.661370407149951,0.656258064516128,252,2587,2839,16128,181696,0.088763649,183.61
"5","MBE_1","Belle-ile","Belle-ile 1",5,4.2,0,1.1305,2.7019,24.5466666666667,14.5233333333333,8.97,1311,0.608847721701924,0.36542639869636,0.643483843355449,0.591662140141225,252,2587,2839,16128,181696,0.088763649,183.61
"6","MBE_1","Belle-ile","Belle-ile 1",6,3,0.4,1.1198,2.6641,16.3566666666667,9.41666666666667,6.78333333333333,1311,0.668494911264417,0.414713674342775,0.724930362116992,0.575708171999184,252,2587,2839,16128,181696,0.088763649,183.61
"7","MBE_1","Belle-ile","Belle-ile 1",7,7.4,0.2,1.1623,2.6607,13.76,8.82666666666667,7.80333333333333,1311,0.794416738056447,0.567102713178294,0.828203693340794,0.641472868217055,252,2587,2839,16128,181696,0.088763649,183.61
"8","MBE_1","Belle-ile","Belle-ile 1",8,2,0,1.1924,2.6764,32.5533333333333,21.6266666666667,15.69,1311,0.704509648267689,0.481978292033586,0.647954141134609,0.664345689125539,252,2587,2839,16128,181696,0.088763649,183.61
"9","MBE_1","Belle-ile","Belle-ile 1",9,6,0,1.1128,2.6265,13.3833333333333,10.8666666666667,6.60666666666667,1311,0.669526930195164,0.49364881693649,0.371372356123947,0.811955168119556,252,2587,2839,16128,181696,0.088763649,183.61
"10","MBE_1","Belle-ile","Belle-ile 1",10,2,0.2,1.0711,2.6413,11.9166666666667,8.39,5.24,1311,0.650002869537986,0.439720279720278,0.528207688467301,0.704055944055942,252,2587,2839,16128,181696,0.088763649,183.61
"11","MBE_1","Belle-ile","Belle-ile 1",11,1.8,0,1.0688,2.6475,16.6466666666667,7.85666666666667,3.76666666666667,1311,0.476924451396443,0.226271525830997,0.682453416149069,0.471966359631557,252,2587,2839,16128,181696,0.088763649,183.61
"12","MBE_1","Belle-ile","Belle-ile 1",12,0.6,0,1.0698,2.6741,18.5833333333333,9.33333333333333,6.50333333333333,1311,0.624746567332183,0.349955156950673,0.765728476821191,0.502242152466368,252,2587,2839,16128,181696,0.088763649,183.61
"13","MBE_2","Belle-ile","Belle-ile 2",1,4,0.6,1.1492,2.6401,13.4333333333333,10.6333333333333,6.31333333333333,1311,0.653463608584218,0.469975186104219,0.393258426966294,0.791563275434243,219,1217,1436,14016,91904,0.152506964,174.47
"14","MBE_2","Belle-ile","Belle-ile 2",2,4.4,0,1.1102,2.6501,12.6266666666667,10.9533333333333,7.04666666666667,1311,0.710740088733864,0.558078141499471,0.299880525686988,0.867476240760291,219,1217,1436,14016,91904,0.152506964,174.47
"15","MBE_2","Belle-ile","Belle-ile 2",3,2,0.2,1.0906,2.6397,11.54,8.76666666666667,4.14666666666667,1311,0.553927146846238,0.359329867128828,0.375112714156898,0.759676487579434,219,1217,1436,14016,91904,0.152506964,174.47
"16","MBE_2","Belle-ile","Belle-ile 2",4,3.8,0,1.0784,2.6261,13.2766666666667,7.1,5.08666666666667,1311,0.649889797527272,0.383128295254832,0.754171754171755,0.534772784333416,219,1217,1436,14016,91904,0.152506964,174.47
